Pick,Player,Team,Position,PositionalRank
10.04,David Njoku,CLE,TE,12
10.05,Geno Smith,LV,QB,28
10.06,Khalil Shakir,BUF,WR,46
10.07,Travis Etienne,JAX,RB,29
10.08,D'Andre Swift,CHI,RB,30
10.09,Matthew Stafford,LAR,QB,29
10.10,Keon Coleman,BUF,WR,47
10.11,Brian Robinson,SF,RB,31
10.12,Michael Pittman,IND,WR,48
11.01,Zach Charbonnet,SEA,RB,32
11.02,Tony Pollard,TEN,RB,33
11.03,Jake Ferguson,DAL,TE,13
11.04,Jonnu Smith,PIT,TE,14
11.05,Jakobi Meyers,JAX,WR,49
11.06,Jalen McMillan,TB,WR,50
11.07,Trey Benson,ARI,RB,34
11.08,Travis Kelce,KC,TE,15
11.09,Isaiah Likely,BAL,TE,16
11.10,Evan Engram,DEN,TE,17
11.11,Deebo Samuel,WAS,WR,51
11.12,Bhayshul Tuten,JAX,RB,35
12.01,Aaron Jones,MIN,RB,36
12.02,Calvin Ridley,TEN,WR,52
12.03,Jack Bech,LV,WR,53
12.04,Jalen Milroe,SEA,QB,30
12.05,Jauan Jennings,SF,WR,54
12.06,Mason Taylor,NYJ,TE,18
12.07,Najee Harris,LAC,RB,37
